c,3,22.10,35.285,160.00,2016-03-15 19:05:08
c,4,22.00,37.999,221.43,2016-03-15 19:05:08
c,5,22.03,41.603,160.00,2016-03-15 19:05:08
b,1,22.92,50.554,167.14,2016-03-15 19:05:09
b,2,22.68,64.607,187.14,2016-03-15 19:05:09
b,3,22.75,53.429,185.71,2016-03-15 19:05:09
c,1,22.30,40.388,144.29,2016-03-15 19:05:09
a,2,21.12,43.790,185.71,2016-03-15 19:05:10
a,4,21.13,42.575,231.43,2016-03-15 19:05:11
a,1,20.72,45.410,198.57,2016-03-15 19:05:12
a,3,20.74,41.441,215.71,2016-03-15 19:05:12
c,1,22.30,40.347,144.29,2016-03-15 19:05:12
c,2,22.10,50.310,172.86,2016-03-15 19:05:12
c,3,22.10,35.245,160.00,2016-03-15 19:05:12
c,5,22.02,41.603,161.43,2016-03-15 19:05:12
b,1,22.92,50.554,165.71,2016-03-15 19:05:13
b,2,22.67,64.607,187.14,2016-03-15 19:05:13
b,3,22.75,53.348,185.71,2016-03-15 19:05:13
c,4,21.98,37.999,218.57,2016-03-15 19:05:13
a,2,21.11,43.749,185.71,2016-03-15 19:05:14
a,1,20.71,45.410,201.43,2016-03-15 19:05:15
a,3,20.74,41.441,214.29,2016-03-15 19:05:16
a,4,21.12,42.575,232.86,2016-03-15 19:05:16
c,3,22.09,35.204,161.43,2016-03-15 19:05:16
b,1,22.92,50.554,165.71,2016-03-15 19:05:17
b,2,22.68,64.647,185.71,2016-03-15 19:05:17
b,3,22.75,53.307,185.71,2016-03-15 19:05:17
c,1,22.30,40.347,142.86,2016-03-15 19:05:17
c,2,22.12,50.351,174.29,2016-03-15 19:05:17
c,4,21.99,37.999,215.71,2016-03-15 19:05:17
c,5,22.01,41.603,160.00,2016-03-15 19:05:17
a,2,21.11,43.709,185.71,2016-03-15 19:05:18
a,1,20.72,45.410,198.57,2016-03-15 19:05:20
a,3,20.74,41.441,215.71,2016-03-15 19:05:20
a,4,21.13,42.575,232.86,2016-03-15 19:05:20
c,1,22.29,40.388,144.29,2016-03-15 19:05:20
c,2,22.10,50.351,172.86,2016-03-15 19:05:20
c,3,22.10,35.285,160.00,2016-03-15 19:05:20
c,5,22.02,41.603,160.00,2016-03-15 19:05:20
b,1,22.92,50.513,165.71,2016-03-15 19:05:21
b,2,22.68,64.647,185.71,2016-03-15 19:05:21
b,3,22.76,53.267,185.71,2016-03-15 19:05:21
c,4,21.99,37.999,218.57,2016-03-15 19:05:21
a,2,21.11,43.709,184.29,2016-03-15 19:05:22
a,1,20.72,45.410,200.00,2016-03-15 19:05:24
a,3,20.74,41.441,215.71,2016-03-15 19:05:24
a,4,21.13,42.535,232.86,2016-03-15 19:05:24
c,3,22.10,35.285,158.57,2016-03-15 19:05:24
c,4,21.99,37.999,218.57,2016-03-15 19:05:24
b,1,22.92,50.472,165.71,2016-03-15 19:05:25
b,2,22.66,64.647,184.29,2016-03-15 19:05:25
b,3,22.75,53.267,184.29,2016-03-15 19:05:25
c,1,22.28,40.307,141.43,2016-03-15 19:05:25
c,2,22.12,50.351,172.86,2016-03-15 19:05:25
c,5,22.02,41.603,160.00,2016-03-15 19:05:25
a,2,21.12,43.709,187.14,2016-03-15 19:05:26
a,1,20.72,45.410,200.00,2016-03-15 19:05:27
a,3,20.74,41.441,215.71,2016-03-15 19:05:27
a,4,21.13,42.494,231.43,2016-03-15 19:05:27
c,1,22.28,40.307,144.29,2016-03-15 19:05:28
c,2,22.11,50.351,172.86,2016-03-15 19:05:28
c,3,22.10,35.285,158.57,2016-03-15 19:05:28
c,4,22.00,37.999,218.57,2016-03-15 19:05:28
b,1,22.92,50.513,165.71,2016-03-15 19:05:29
b,2,22.67,64.647,187.14,2016-03-15 19:05:29
b,3,22.74,53.267,184.29,2016-03-15 19:05:29
c,5,22.02,41.603,158.57,2016-03-15 19:05:29
a,1,20.72,45.410,200.00,2016-03-15 19:05:31
a,2,21.11,43.709,185.71,2016-03-15 19:05:31
a,3,20.74,41.401,214.29,2016-03-15 19:05:32
a,4,21.14,42.494,232.86,2016-03-15 19:05:32
c,1,22.29,40.388,145.71,2016-03-15 19:05:32
c,3,22.10,35.285,160.00,2016-03-15 19:05:32
